Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,642.55,2023-11-08 05:30:00,649.05,641.9,2023-11,648.0,6551864,AUTOMOBILES
TATAMOTORS,649.35,2023-11-09 05:30:00,653.65,642.7,2023-11,644.0,10155047,AUTOMOBILES
TATAMOTORS,651.05,2023-11-10 05:30:00,652.95,644.0,2023-11,649.35,6425792,AUTOMOBILES
TATAMOTORS,653.55,2023-11-12 05:30:00,657.95,652.4,2023-11,657.95,2245583,AUTOMOBILES
TATAMOTORS,653.25,2023-11-13 05:30:00,654.0,649.3,2023-11,653.0,3279829,AUTOMOBILES
TATAMOTORS,671.55,2023-11-15 05:30:00,673.5,656.55,2023-11,660.0,11324434,AUTOMOBILES
TATAMOTORS,680.4,2023-11-16 05:30:00,685.5,670.9,2023-11,674.0,17501373,AUTOMOBILES
TATAMOTORS,681.55,2023-11-17 05:30:00,687.65,679.6,2023-11,682.5,9563220,AUTOMOBILES
TATAMOTORS,674.3,2023-11-20 05:30:00,686.75,670.7,2023-11,682.0,8324354,AUTOMOBILES
TATAMOTORS,681.7,2023-11-21 05:30:00,683.3,675.0,2023-11,677.0,7291057,AUTOMOBILES
TATAMOTORS,681.2,2023-11-22 05:30:00,687.35,676.05,2023-11,683.95,9279642,AUTOMOBILES
TATAMOTORS,679.95,2023-11-23 05:30:00,685.9,677.05,2023-11,683.2,5885370,AUTOMOBILES
TATAMOTORS,673.7,2023-11-24 05:30:00,681.95,671.25,2023-11,681.4,6951690,AUTOMOBILES
TATAMOTORS,697.5,2023-11-28 05:30:00,699.45,674.25,2023-11,677.45,16015860,AUTOMOBILES
TATAMOTORS,712.35,2023-11-29 05:30:00,714.4,694.35,2023-11,702.75,16122864,AUTOMOBILES
TATAMOTORS,706.4,2023-11-30 05:30:00,717.25,697.0,2023-11,716.3,24275245,AUTOMOBILES
TATAMOTORS,705.45,2023-12-01 05:30:00,711.0,703.0,2023-12,708.0,10565415,AUTOMOBILES
TATAMOTORS,705.6,2023-12-04 05:30:00,717.0,704.8,2023-12,716.0,9348036,AUTOMOBILES
TATAMOTORS,708.95,2023-12-05 05:30:00,714.9,705.0,2023-12,705.9,9601509,AUTOMOBILES
TATAMOTORS,722.45,2023-12-06 05:30:00,724.8,709.0,2023-12,709.05,12148825,AUTOMOBILES
TATAMOTORS,721.95,2023-12-07 05:30:00,727.5,716.0,2023-12,725.0,10451801,AUTOMOBILES
TATAMOTORS,714.55,2023-12-08 05:30:00,727.6,707.5,2023-12,722.05,8557203,AUTOMOBILES
TATAMOTORS,720.8,2023-12-11 05:30:00,726.5,716.55,2023-12,717.8,6403209,AUTOMOBILES
TATAMOTORS,715.4,2023-12-12 05:30:00,724.8,713.0,2023-12,724.8,6461539,AUTOMOBILES
TATAMOTORS,720.3,2023-12-13 05:30:00,721.45,713.5,2023-12,716.0,5807736,AUTOMOBILES
TATAMOTORS,719.75,2023-12-14 05:30:00,724.7,718.6,2023-12,724.0,6732352,AUTOMOBILES
TATAMOTORS,732.4,2023-12-15 05:30:00,734.0,721.25,2023-12,723.9,12082079,AUTOMOBILES
TATAMOTORS,730.8,2023-12-18 05:30:00,734.75,728.1,2023-12,732.9,5450397,AUTOMOBILES
TATAMOTORS,728.95,2023-12-19 05:30:00,732.6,726.0,2023-12,732.6,4511101,AUTOMOBILES
TATAMOTORS,705.25,2023-12-20 05:30:00,733.0,703.05,2023-12,730.95,8107602,AUTOMOBILES
TATAMOTORS,708.85,2023-12-21 05:30:00,711.9,696.25,2023-12,703.0,7702232,AUTOMOBILES
TATAMOTORS,724.7,2023-12-22 05:30:00,731.0,712.0,2023-12,716.8,12062238,AUTOMOBILES
